0,9,0.47,1.0,0.27,0.81,0.57,0.37,0.26,0.0,0.0,0.23,0.56,0.53,1.0,0.9,0.4,0.98
1,3,0.0,0.89,0.27,1.0,0.42,0.75,0.29,0.45,0.15,0.15,0.37,0.0,0.69,0.02,1.0,0.06
2,2,0.0,0.57,0.31,0.68,0.72,0.9,1.0,1.0,0.76,0.75,0.5,0.51,0.28,0.25,0.16,0.0
3,5,0.0,1.0,0.07,0.92,0.05,0.68,0.19,0.45,0.86,0.34,1.0,0.45,0.74,0.23,0.67,0.0
4,2,0.0,0.67,0.49,0.83,1.0,1.0,0.81,0.8,0.6,0.6,0.4,0.4,0.33,0.2,0.47,0.0
5,7,1.0,1.0,0.88,0.99,0.49,0.74,0.17,0.47,0.0,0.16,0.37,0.0,0.73,0.16,0.2,0.2
6,5,0.0,1.0,0.03,0.72,0.26,0.35,0.85,0.35,1.0,0.71,0.73,0.97,0.65,0.49,0.66,0.0
7,1,0.0,0.39,0.02,0.62,0.11,0.05,0.63,0.0,1.0,0.43,0.89,0.99,0.36,1.0,0.0,0.57
8,6,0.13,0.89,0.12,0.5,0.72,0.38,0.56,0.0,0.04,0.17,0.0,0.61,0.32,0.94,1.0,1.0
9,1,0.57,1.0,0.22,0.72,0.0,0.31,0.25,0.0,0.75,0.13,1.0,0.5,0.75,0.87,0.26,0.85
10,10,0.74,0.87,0.31,1.0,0.0,0.69,0.62,0.64,1.0,0.79,1.0,0.38,0.84,0.0,0.18,0.01
11,9,0.48,0.96,0.62,0.65,0.88,0.27,0.21,0.0,0.21,0.33,0.79,0.67,1.0,1.0,0.0,0.85
12,6,1.0,1.0,0.72,0.99,0.36,0.78,0.34,0.54,0.79,0.47,0.64,0.13,0.19,0.0,0.0,0.02
13,10,0.91,0.74,0.54,1.0,0.0,0.87,0.23,0.59,0.81,0.67,1.0,0.39,0.79,0.04,0.21,0.0
14,8,0.0,0.85,0.38,1.0,0.81,0.88,0.87,0.5,0.84,0.12,0.58,0.0,0.53,0.22,1.0,0.24
15,4,0.35,0.76,0.57,1.0,1.0,0.92,0.68,0.66,0.81,0.38,0.82,0.09,0.32,0.0,0.0,0.17
16,4,0.5,0.84,0.66,1.0,0.75,0.75,0.51,0.51,1.0,0.42,0.97,0.13,0.49,0.0,0.0,0.07
17,10,0.99,0.8,0.63,1.0,0.25,0.76,0.79,0.68,1.0,0.62,0.97,0.23,0.54,0.0,0.0,0.16
18,3,0.24,0.66,0.43,1.0,0.59,0.65,0.34,0.28,0.0,0.01,0.16,0.11,0.58,0.0,1.0,0.01
19,3,0.0,0.73,0.19,0.99,0.72,1.0,0.7,0.73,0.32,0.48,0.05,0.18,0.46,0.0,1.0,0.0
20,6,0.12,0.77,0.2,0.62,0.78,0.4,0.5,0.0,0.01,0.17,0.0,0.64,0.23,0.98,1.0,1.0
21,2,0.0,0.46,0.49,0.64,0.78,0.87,1.0,1.0,0.91,0.75,0.85,0.49,0.75,0.24,0.89,0.0
22,6,0.1,0.86,0.34,0.66,0.68,0.34,0.34,0.0,0.04,0.26,0.0,0.69,0.34,0.95,1.0,1.0
23,9,0.73,0.62,0.53,1.0,0.0,0.72,0.82,0.39,1.0,0.0,0.15,0.14,0.52,0.57,0.9,0.94
24,7,0.54,1.0,0.34,0.75,0.06,0.43,0.0,0.11,0.7,0.0,1.0,0.28,0.44,0.46,0.36,0.21
25,5,0.11,1.0,0.0,0.69,0.15,0.43,0.87,0.47,1.0,0.65,0.74,0.67,0.71,0.33,0.66,0.0
26,1,0.36,0.92,0.07,0.83,0.0,0.37,0.26,0.0,0.77,0.06,1.0,0.46,0.84,0.89,0.36,1.0
27,5,0.46,1.0,0.1,0.83,0.34,0.64,1.0,0.77,0.71,0.82,0.49,0.54,0.22,0.27,0.0,0.0
